Dim1,Dim2,tumor_class
-57.44698694011827,95.41098159504634,PRAD
-16.919430069669897,0.7324691957106344,LUAD
-70.34521791150055,-19.303326953258914,PRAD
-49.16159127658633,-9.22758858342154,PRAD
-18.13253351544471,-51.32779765818968,BRCA
-19.174994048925793,23.718420874520923,PRAD
42.456917638508806,74.62597916237056,KIRC
16.09701247759179,32.53473893188244,PRAD
3.970095172190968,-70.24804093090671,BRCA
-27.941355516535925,2.659563667818613,PRAD
-18.486718751539666,-15.126195552362109,BRCA
88.63496976956564,41.75764642153725,KIRC
3.7104075534707617,11.764264144868116,PRAD
-83.69526815710995,71.7518892694088,BRCA
-48.074153275319915,-36.39563944486254,BRCA
11.055030428781183,-46.15744706999699,BRCA
2.8303128750587896,-1.558870266740283,LUAD
85.22979313260313,23.779514674412304,KIRC
85.302096604071,20.60563548720967,KIRC
-28.215383899780264,-2.4757340020798067,PRAD
13.923836501494863,-118.99401587029908,BRCA
35.652361083544534,6.040696276277207,KIRC
-3.3577877536041263,-6.08538749718923,LUAD
-69.29700919734739,-1.9336478249697522,BRCA
100.95710400761625,-10.711638647937583,KIRC
32.4318438329817,0.4304091255865002,LUAD
-54.16009545523571,19.439378330806655,COAD
-15.188364772344558,-41.51582085028009,BRCA
-29.355314405920726,-19.487530522637012,BRCA
-37.088651886534905,-57.16676367418577,BRCA
-25.55375000965014,-27.293189576017785,BRCA
13.040025442579035,-111.07143898274695,BRCA
83.47392172421213,5.903834263432625,KIRC
-28.15149427946747,67.64981222540345,BRCA
-27.270825469192058,34.79965922893524,PRAD
-20.01835476680654,-55.65026512656736,BRCA
70.31962512480567,9.073737665045188,KIRC
28.01863444256523,6.3247404645678875,LUAD
-25.512069919479693,-1.5062413550571667,BRCA
-53.15845778063585,56.32044430819003,BRCA
109.35853632360217,-3.6759355803235274,KIRC
-21.97215672956911,32.165896477543704,PRAD
-6.463848413240566,5.795765208848164,PRAD
70.89197958845187,61.772980682444846,KIRC
90.18085693386615,45.2166252799065,KIRC
-3.67084955079667,-69.14712823307643,BRCA
-24.196538877311486,92.78165926411963,PRAD
-79.13886383642948,23.222164573507325,COAD
-22.473322637963456,-61.10727552509713,BRCA
-8.898066578503858,-13.744531713398496,LUAD
-2.74331952072716,-76.32769358218098,BRCA
-30.34849049743456,22.688826272310862,LUAD
-34.00569394526033,-29.326009155913837,BRCA
-20.538635952520057,18.373259566208205,PRAD
-90.54748152747194,24.527204875405815,COAD
-70.11942462831384,21.68370635045925,BRCA
