,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading
gene_19862,0.019002055874367627,-0.0016576886371687286,0.019002055874367627,0.0016576886371687286
gene_17360,0.018985006023598004,0.003354594877217823,0.018985006023598004,0.003354594877217823
gene_13489,0.018966357310583888,0.0017024770163631383,0.018966357310583888,0.0017024770163631383
gene_15158,0.018776509658108016,-0.0013179609466411493,0.018776509658108016,0.0013179609466411493
gene_7031,0.0187395399634996,0.0014571976785387349,0.0187395399634996,0.0014571976785387349
gene_7019,0.018657404787136466,0.0030408887139200484,0.018657404787136466,0.0030408887139200484
gene_10788,0.018628635966003365,0.0013603195400278497,0.018628635966003365,0.0013603195400278497
gene_13507,-0.018624003663443543,-0.004405127710834611,0.018624003663443543,0.004405127710834611
gene_6543,0.018594613560020005,0.0023648612849196515,0.018594613560020005,0.0023648612849196515
gene_2288,-0.018592159577443052,-0.005370107893001475,0.018592159577443052,0.005370107893001475
gene_223,0.018574414482745723,0.004104519491769792,0.018574414482745723,0.004104519491769792
gene_9479,0.01854576768957402,0.004122546204980857,0.01854576768957402,0.004122546204980857
gene_14891,0.018535512882307523,0.002583419200087152,0.018535512882307523,0.002583419200087152
gene_16974,0.018532460381183887,-0.002419684991717319,0.018532460381183887,0.002419684991717319
gene_7017,0.01849701561769899,0.001017248778814184,0.01849701561769899,0.001017248778814184
gene_936,0.018486222651730413,0.0036504304540940845,0.018486222651730413,0.0036504304540940845
gene_13834,0.01847057361457453,0.0037222618478047714,0.01847057361457453,0.0037222618478047714
gene_4442,0.018468151033053503,0.007064833839194824,0.018468151033053503,0.007064833839194824
gene_16928,0.018458521830858634,-0.001690934672038228,0.018458521830858634,0.001690934672038228
gene_1122,0.018422357453996972,0.006599910201679112,0.018422357453996972,0.006599910201679112
gene_8894,0.018417334223657086,0.00010036687220619688,0.018417334223657086,0.00010036687220619688
gene_2899,0.018375650565074907,-0.0024296008884244825,0.018375650565074907,0.0024296008884244825
gene_19343,0.01836486268464795,0.0029809307358225614,0.01836486268464795,0.0029809307358225614
gene_3453,0.01832829358893411,0.004581047080205756,0.01832829358893411,0.004581047080205756
gene_5597,0.01827716823260663,0.0036828909502176254,0.01827716823260663,0.0036828909502176254
gene_18178,0.018223047897199387,0.006177757995152955,0.018223047897199387,0.006177757995152955
gene_6468,0.01821196594474953,0.0009520790550926263,0.01821196594474953,0.0009520790550926263
gene_2769,-0.01818972332759233,-0.001977529877443816,0.01818972332759233,0.001977529877443816
gene_1056,0.018135393374073053,0.0010336416471469138,0.018135393374073053,0.0010336416471469138
gene_14780,0.018121121750546844,0.005693281559681715,0.018121121750546844,0.005693281559681715
